P,q
0.1,0.0668730786
0.3,0.2015785283
0.5,0.3173292857
0.7,0.4429330158
0.9,0.5515468693
1.0,0.6050996536
2.0,1.1179454334
3.0,1.5136766426
4.0,1.8000196297
5.0,2.0626519149
6.0,2.241866218
7.0,2.4143076859
8.0,2.4894965578
9.0,2.622670607
10.0,2.7140576504
20.0,3.172015727
30.0,3.3791766433
40.0,3.4757068806
50.0,3.5466251679
