P,q
0.1,0.037624775
0.3,0.1033912002
0.5,0.1641733503
0.7,0.2181898888
0.9,0.2685917445
1.0,0.2909082941
2.0,0.4337446132
3.0,0.5518199209
4.0,0.6301077117
5.0,0.6804358867
6.0,0.7379587544
7.0,0.7749074017
8.0,0.8120077443
9.0,0.8367860923
10.0,0.8658162436
20.0,1.003533929
30.0,1.072884698
40.0,1.1154027308
50.0,1.1242487354
