P,q
0.1,0.087576842
0.3,0.2364148382
0.5,0.3665036132
0.7,0.5021657868
0.9,0.6089849802
1.0,0.6401292346
2.0,1.0396571611
3.0,1.29447192
4.0,1.4651771587
5.0,1.5930982154
6.0,1.7041552466
7.0,1.8062537457
8.0,1.8736173862
9.0,1.9416385336
10.0,2.0020829409
20.0,2.3378172841
30.0,2.5258488579
40.0,2.6374144296
50.0,2.7059081601
