P,q
0.1,0.0289174633
0.3,0.0820946211
0.5,0.1348094693
0.7,0.1949270494
0.9,0.2312934756
1.0,0.2609448553
2.0,0.4538955314
3.0,0.6231181689
4.0,0.7565753827
5.0,0.8542960671
6.0,0.9270578138
7.0,1.0015647792
8.0,1.0873752134
9.0,1.1338315459
10.0,1.1970408212
20.0,1.426594857
30.0,1.5603352355
40.0,1.6015790276
50.0,1.6403321269
