P,q
0.1,0.0344857653
0.3,0.1030639717
0.5,0.1678454607
0.7,0.2399603352
0.9,0.2864863753
1.0,0.3157516543
2.0,0.5969102731
3.0,0.8364415272
4.0,1.0468082714
5.0,1.2744650321
6.0,1.4451417777
7.0,1.5876909593
8.0,1.7699691467
9.0,1.9128433897
10.0,2.0570763893
20.0,2.9268919718
30.0,3.3977044215
40.0,3.7096983659
50.0,3.8818508903
