P,q
0.1,0.0132162747
0.3,0.0378284802
0.5,0.0677225725
0.7,0.0939875347
0.9,0.1170914552
1.0,0.1295853712
2.0,0.2749297197
3.0,0.3952688996
4.0,0.4980460949
5.0,0.6199340118
6.0,0.7290621847
7.0,0.8496267405
8.0,0.9770681511
9.0,1.0844337688
10.0,1.1826167628
20.0,1.9796095592
30.0,2.4277666731
40.0,2.6896939363
50.0,2.8947629018
