P,q
0.1,0.0803532551
0.3,0.2279147632
0.5,0.3658872004
0.7,0.4680961402
0.9,0.5845904455
1.0,0.6515213128
2.0,1.0345139672
3.0,1.3310778482
4.0,1.5386355802
5.0,1.7190095098
6.0,1.8525861535
7.0,2.0049672389
8.0,2.1302955095
9.0,2.1970453056
10.0,2.2879315136
20.0,2.8217295482
30.0,3.1322282101
40.0,3.3179764883
50.0,3.4633227631
