P,q
0.1,0.0626565435
0.3,0.1850856345
0.5,0.2868515276
0.7,0.3954847574
0.9,0.4949377429
1.0,0.5270023106
2.0,0.8644420624
3.0,1.1158167698
4.0,1.2884914321
5.0,1.4206657369
6.0,1.5346610777
7.0,1.6080336849
8.0,1.6821466674
9.0,1.744403449
10.0,1.789717265
20.0,2.0951903499
30.0,2.212139033
40.0,2.2961624368
50.0,2.352292257
