P,q
0.1,0.0480405683
0.3,0.1402911398
0.5,0.2288124143
0.7,0.3014434485
0.9,0.3747173131
1.0,0.4042038575
2.0,0.6981050556
3.0,0.917891426
4.0,1.1038147214
5.0,1.2067116218
6.0,1.3008246405
7.0,1.3956949663
8.0,1.5088419302
9.0,1.5515813488
10.0,1.6212271841
20.0,1.9749952695
30.0,2.127310861
40.0,2.2159290002
50.0,2.2847514842
