P,q
0.1,0.0906383587
0.3,0.2439710312
0.5,0.3813771392
0.7,0.5058848104
0.9,0.6092084299
1.0,0.6650734041
2.0,1.0565237551
3.0,1.317751775
4.0,1.5111564133
5.0,1.6732909463
6.0,1.7905275154
7.0,1.9187259578
8.0,2.0020675306
9.0,2.0719558949
10.0,2.1559986372
20.0,2.5722647383
30.0,2.7676444658
40.0,2.8970115241
50.0,2.9703338212
