P,q
0.1,0.0444553989
0.3,0.1316021967
0.5,0.2109258498
0.7,0.263109042
0.9,0.3495060315
1.0,0.3591798591
2.0,0.5952611282
3.0,0.8078989681
4.0,0.8968877805
5.0,1.0149284151
6.0,1.1249595364
7.0,1.2028659217
8.0,1.2806032751
9.0,1.3502097591
10.0,1.3902703277
20.0,1.7021602524
30.0,1.8704553814
40.0,1.9944468068
50.0,2.0377276505
