10	0.0000000000
20	0.0000462310
40	0.0000565045
60	0.0001335561
80	0.0001130090
100	0.0001746503
200	0.0003030696
400	0.0007653792
600	0.0008424308
800	0.0014331597
1000	0.0018441015
2000	0.0038782636
4000	0.0069397803
6000	0.0103454607
8000	0.0141209888
10000	0.0179787053
50000	0.0884192728
100000	0.1681419890
500000	0.6626899414
1000000	1.0614165313
3000000	1.8400434382
5000000	2.1674356621
5000001	2.1828819384
