P,q
1,0.710239346
3,1.622465538
5,2.118728218
6,2.26860695
7,2.385476066
8,2.477014108
9,2.552283012
10,2.618014649
11,2.675517849
13,2.75912437
30,3.064853444
50,3.155737738
