P,q
1,0.423099062
3,1.162507137
5,1.768387559
6,2.074753946
7,2.320064631
8,2.527936604
9,2.742855966
10,2.902904512
11,3.076261182
13,3.310090604
30,4.424648623
50,4.950530777
