P,q
1,0.349933641
3,0.84721124
5,1.224050434
6,1.346638597
7,1.468015354
8,1.601019653
9,1.650999338
10,1.725863761
11,1.825630259
13,1.917856354
30,2.329043984
50,2.491458997
