P,q
1,0.462022667
3,1.108183296
5,1.502515488
6,1.650471651
7,1.756292575
8,1.867878836
9,1.963968643
10,2.024089893
11,2.094516974
13,2.213747009
30,2.68527715
50,2.897711288
