P,q
1,0.366284363
3,0.872144738
5,1.189791931
6,1.346255021
7,1.445939169
8,1.548995316
9,1.617992332
10,1.699875972
11,1.759028964
13,1.86759278
30,2.339216323
50,2.585041693
