P,q
0.1,0.1410194425
0.3,0.3732779893
0.5,0.5542479129
0.7,0.6690613378
0.9,0.7912393539
1.0,0.8444037982
2.0,1.1198027621
3.0,1.2642236472
4.0,1.3596235376
5.0,1.4229368326
6.0,1.444839904
7.0,1.4832196884
8.0,1.5104867066
9.0,1.5340506251
10.0,1.5424588803
20.0,1.6379558557
30.0,1.6834887248
40.0,1.7031241678
50.0,1.7286297866
51.0,1.7319722847
