P,q
0.1,0.1541441221
0.3,0.4264459009
0.5,0.6679015186
0.7,0.8842493928
0.9,1.0599949294
1.0,1.1227187797
2.0,1.6503064558
3.0,1.96907468
4.0,2.0953848769
5.0,2.2243345724
6.0,2.293702678
7.0,2.3402818114
8.0,2.3948834605
9.0,2.4357545156
10.0,2.4589855712
20.0,2.6114220374
30.0,2.6567746058
40.0,2.6834339758
50.0,2.7050310561
51.0,2.6982524421
