P,q
1,0.199401303
3,0.556271644
5,0.849689479
6,1.015216105
7,1.144385565
8,1.282994885
9,1.415547012
10,1.532005967
11,1.676560459
13,1.916533759
30,3.456461288
50,4.58424158
