P,q
0.1,0.0735072209
0.3,0.2023683071
0.5,0.3160425241
0.7,0.4117521619
0.9,0.493773584
1.0,0.5196898877
2.0,0.7865349688
3.0,0.962008417
4.0,1.0833261521
5.0,1.170171004
6.0,1.2355300188
7.0,1.2814219483
8.0,1.337735106
9.0,1.3746004413
10.0,1.4355867781
20.0,1.6824446757
30.0,1.8198507837
40.0,1.9544522137
50.0,2.0392166725
51.0,2.0263452037
