P,q
1,0.446475936
3,0.933974092
5,1.164207005
6,1.26123473
7,1.303204402
8,1.369996834
9,1.41845912
10,1.445634476
11,1.493377286
13,1.545338128
30,1.792825443
50,1.927653351
