P,q
0.1,0.021119842
0.3,0.069015113
0.5,0.1137743841
0.7,0.154226471
0.9,0.1942162484
1.0,0.2018366511
2.0,0.4649832558
3.0,0.6568109048
4.0,0.8280503678
5.0,1.0344947043
6.0,1.2228088006
7.0,1.3135062322
8.0,1.4579086249
9.0,1.6116804916
10.0,1.7966813693
20.0,2.6950644324
30.0,3.11905624
40.0,3.3250690875
50.0,3.4347828526
51.0,3.474580001
