P,q
0.1,0.0198590853
0.3,0.0622297569
0.5,0.095099967
0.7,0.1375746584
0.9,0.1622273159
1.0,0.18393275
2.0,0.3349779534
3.0,0.4617865777
4.0,0.6133345427
5.0,0.7538910978
6.0,0.8391872126
7.0,0.8977416085
8.0,1.0248276186
9.0,1.0036336145
10.0,1.1324272806
20.0,1.6277948694
30.0,1.9489642139
40.0,2.1938784851
50.0,2.2690586887
51.0,2.3169597386
